# x_m,y_m,w_tr_right_m,w_tr_left_m
-249.28531618235996,-56.362915920297,4.0,4.0
-249.1557465752174,-56.192227796346764,4.0,4.0
-248.89656151545603,-55.85087438443917,4.0,4.0
-248.63733061074777,-55.50951336039443,4.0,4.0
-248.50768459618484,-55.33885187619799,4.0,4.0
-248.3780233002374,-55.168194199373545,4.0,4.0
-248.11863958186402,-54.82685981427067,4.0,4.0
-247.85919473821525,-54.48552923354574,4.0,4.0
-247.72947231725004,-54.314875359991305,4.0,4.0
-247.5997346159579,-54.14426335257677,4.0,4.0
-247.34025921501294,-53.80311545491355,4.0,4.0
-247.0819451906002,-53.461168314441075,4.0,4.0
-246.82815441970385,-53.11592904495991,4.0,4.0
-246.57852015217222,-52.767264441688454,4.0,4.0
-246.33015422549923,-52.4177739487128,4.0,4.0
-246.08328586236533,-52.06727107885968,4.0,4.0
-245.83730381443914,-51.71634194443156,4.0,4.0
-245.5917802044885,-51.36532527486115,4.0,4.0
-245.34650109496118,-51.01420584426175,4.0,4.0
-245.10117614124843,-50.66303693480033,4.0,4.0
-244.97848309507683,-50.48738206757286,4.0,4.0
-244.85575948248194,-50.31171958944314,4.0,4.0
-244.61029696822436,-49.96031089688809,4.0,4.0
-244.36469692033046,-49.60890601126454,4.0,4.0
-244.24186633477936,-49.433205471683586,4.0,4.0
-244.11905103080306,-49.25752015591078,4.0,4.0
-243.87338986127364,-48.90615332562001,4.0,4.0
-243.62774397459603,-48.55482455841933,4.0,4.0
-243.50488282962323,-48.379181105396796,4.0,4.0
-243.3820369668827,-48.203533847436276,4.0,4.0
-243.13625355571529,-47.85230403166365,4.0,4.0
-242.89054655085306,-47.501173170368034,4.0,4.0
-242.76768540771073,-47.325628670289134,4.0,4.0
-242.6448089835476,-47.15008036438747,4.0,4.0
-242.39894916807498,-46.799018008318654,4.0,4.0
-242.1530587894704,-46.44794423269092,4.0,4.0
-241.90710728103912,-46.09686284284993,4.0,4.0
-241.66112521051457,-45.745815707268804,4.0,4.0
-241.41508201923997,-45.394890357960634,4.0,4.0
-241.29206806538366,-45.219456227418256,4.0,4.0
-241.16905411212363,-45.04402971314259,4.0,4.0
-240.92302620621783,-44.69321092878854,4.0,4.0
-240.67699829768765,-44.34240356205821,4.0,4.0
-240.5539537797038,-44.16700749095742,4.0,4.0
-240.43086341715093,-43.991638059659564,4.0,4.0
-240.18471325290653,-43.640922032150236,4.0,4.0
-240.06162288889047,-43.46557543572346,4.0,4.0
-239.93854780612597,-43.29022884047686,4.0,4.0
-239.81545744188904,-43.114897468048994,4.0,4.0
-239.69233651442542,-42.93955848337352,4.0,4.0
-239.44598768645426,-42.58887289815592,4.0,4.0
-239.3228514736064,-42.413545330956296,4.0,4.0
-239.19969997874605,-42.23825582005746,4.0,4.0
-238.9533205821679,-41.887676799902195,4.0,4.0
-238.7068647797658,-41.53713583849356,4.0,4.0
-238.5836368784045,-41.36186916235504,4.0,4.0
-238.46039369380608,-41.186583456855665,4.0,4.0
-238.33711994454347,-41.01130155684353,4.0,4.0
-238.21387675639428,-40.83601584819266,4.0,4.0
-237.96729869237467,-40.48549010660051,4.0,4.0
-237.84397909850946,-40.310250070506356,4.0,4.0
-237.72064422367046,-40.13501764744625,4.0,4.0
-237.5973246304627,-39.95979283385572,4.0,4.0
-237.4740203184233,-39.78456421379048,4.0,4.0
-237.22732000381657,-39.43410697522286,4.0,4.0
